| Nesquik                       | adfghilpqrst | 14:51:38       | 14:54:46         | 00:03:13             |
| Nesquik                       | adfghilpqrst | 19:50:21       | 20:00:06         | 00:09:48             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| кто-то                       | adgiklprst | 20:10:24       | 20:15:14         | 00:04:56             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| gorillass                       | adgiklprst | 20:06:33       | 20:15:14         | 00:10:09             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| gorillass                       | adgiklprst | 20:15:21       | 20:16:25         | 00:01:06             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| кто-то                       | adgiklprst | 20:15:22       | 20:22:03         | 00:06:44             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| gorillass                       | adgiklprst | 20:16:35       | 20:22:03         | 00:05:30             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| {PaCCa} Данька                       | adgiklprst | 20:15:32       | 20:22:03         | 00:06:44             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| EXSTRIM                       | diqrst | 20:22:46       | 20:27:06         | 00:04:33             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| EXSTRIM                       | diqrst | 20:27:10       | 20:27:48         | 00:00:39             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| gorillass                       | adgiklprst | 20:23:37       | 20:44:39         | 00:21:05             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| кто-то                       | adgiklprst | 20:22:16       | 20:58:54         | 00:36:41             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| {PaCCa} Данька                       | adgiklprst | 20:22:25       | 20:58:54         | 00:36:34             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| Nesquik                       | adfghilpqrst | 20:57:17       | 20:58:54         | 00:01:48             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| {PaCCa} Данька                       | adgiklprst | 20:59:00       | 21:09:48         | 00:10:46             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| кто-то                       | adgiklprst | 20:59:00       | 21:44:55         | 00:45:54             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| Nesquik                       | adfghilpqrst | 20:59:05       | 21:44:55         | 00:45:52             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| кто-то                       | adgiklprst | 21:45:02       | 21:54:11         | 00:09:12             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| Nesquik                       | adfghilpqrst | 21:45:09       | 21:58:22         | 00:13:20             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| EXSTRIM                       | diqrst | 22:32:55       | 22:40:28         | 00:07:43             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| {PaCCa} Данька                       | adgiklprst | 22:13:59       | 22:42:39         | 00:28:49             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| gorillass                       | adgiklprst | 22:51:37       | 22:57:38         | 00:06:04             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| FANTOM_228                       | diqrst | 22:20:47       | 22:57:41         | 00:37:02             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
==================================================================================================================
                                                 [ 19.12.2020 ]
==================================================================================================================

|             Ник             |          флаги        |  Время захода  |   Время выхода   |   Общее время игры   |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| gorillass                       | adgiklprst | 00:21:49       | 00:23:27         | 00:01:44             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| gorillass                       | adgiklprst | 09:32:28       | 09:32:28         | 00:00:04             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| gorillass                       | adgiklprst | 09:32:28       | 09:53:29         | 00:20:51             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| Nesquik                       | adfghilpqrst | 10:56:24       | 11:01:35         | 00:05:24             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| Nesquik                       | adfghilpqrst | 11:01:50       | 11:23:14         | 00:21:28             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
|                        |  |        | 11:35:45         | 00:34:04             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| gorillass                       | adgiklprst | 11:35:50       | 11:40:29         | 00:04:40             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| gorillass                       | adgiklprst | 12:02:28       | 12:11:33         | 00:09:07             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
|                        |  |        | 12:18:14         | 00:23:32             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| jenika 61                       | diqrst | 12:18:16       | 12:19:27         | 00:01:12             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| jenika 61                       | diqrst | 12:48:21       | 13:05:59         | 00:17:37             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| jenika 61                       | diqrst | 13:10:39       | 13:27:41         | 00:17:03             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| кто-то                       | adgiklprst | 13:14:10       | 13:35:23         | 00:21:27             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| jenika 61                       | diqrst | 13:27:43       | 13:46:34         | 00:18:49             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| кто-то                       | adgiklprst | 13:14:10       | 13:48:21         | 00:10:38             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| gorillass                       | adgiklprst | 13:25:29       | 13:58:02         | 00:32:32             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| {PaCCa} Данька                       | adgiklprst | 13:39:14       | 14:01:10         | 00:22:11             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| кто-то                       | adgiklprst | 13:59:17       | 14:07:08         | 00:07:56             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| Nesquik                       | adfghilpqrst | 13:27:16       | 14:07:08         | 00:40:01             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| Nesquik                       | adfghilpqrst | 14:07:20       | 14:17:17         | 00:10:00             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| {PaCCa} Данька                       | adgiklprst | 14:17:26       | 14:41:17         | 00:23:53             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| кто-то                       | adgiklprst | 14:07:14       | 14:44:13         | 00:37:01             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| Nesquik                       | adfghilpqrst | 15:02:13       | 15:04:31         | 00:02:30             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| {PaCCa} Данька                       | adgiklprst | 15:05:35       | 15:11:31         | 00:06:14             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| jenika 61                       | diqrst | 15:02:52       | 15:13:29         | 00:10:43             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| FANTOM_228                       | diqrst | 14:44:10       | 15:47:55         | 01:03:51             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| Nesquik                       | adfghilpqrst | 15:53:29       | 16:01:20         | 00:07:59             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| кто-то                       | adgiklprst | 16:15:24       | 16:23:16         | 00:07:57             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| Nesquik                       | adfghilpqrst | 16:01:41       | 16:26:50         | 00:25:20             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| FANTOM_228                       | diqrst | 16:25:41       | 16:43:04         | 00:17:38             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| кто-то                       | adgiklprst | 16:27:08       | 16:47:22         | 00:20:20             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
|                        |  |        | 16:47:22         | 00:15:59             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| EXSTRIM                       | diqrst | 16:38:44       | 16:47:22         | 00:08:48             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| FANTOM_228                       | diqrst | 16:47:50       | 16:48:27         | 00:00:43             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
|                        |  |        | 17:02:06         | 00:14:38             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| EXSTRIM                       | diqrst | 16:47:27       | 17:32:07         | 00:44:39             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| кто-то                       | adgiklprst | 16:47:28       | 17:32:43         | 00:45:14             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| EXSTRIM                       | diqrst | 17:32:13       | 17:32:43         | 00:00:31             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| {PaCCa} Данька                       | adgiklprst | 17:36:42       | 17:40:22         | 00:04:13             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| jenika 61                       | diqrst | 17:40:56       | 17:49:25         | 00:08:39             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| EXSTRIM                       | diqrst | 17:32:48       | 17:51:38         | 00:18:52             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| кто-то                       | adgiklprst | 17:32:50       | 17:58:15         | 00:25:27             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| кто-то                       | adgiklprst | 18:15:07       | 18:33:34         | 00:18:52             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| Nesquik                       | adfghilpqrst | 18:19:21       | 18:33:34         | 00:14:44             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| кто-то                       | adgiklprst | 18:33:40       | 18:45:21         | 00:11:43             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| кто-то                       | adgiklprst | 18:52:31       | 18:52:31         | 00:00:05             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| Nesquik                       | adfghilpqrst | 18:33:48       | 18:53:38         | 00:19:54             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| Nesquik                       | adfghilpqrst | 18:33:48       | 18:55:51         | 00:01:52             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| кто-то                       | adgiklprst | 18:52:31       | 19:00:49         | 00:07:54             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| кто-то                       | adgiklprst | 19:00:53       | 19:02:18         | 00:01:26             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| Nesquik                       | adfghilpqrst | 18:59:29       | 19:23:59         | 00:24:33             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| кто-то                       | adgiklprst | 19:08:05       | 19:37:43         | 00:29:43             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| кто-то                       | adgiklprst | 19:08:05       | 19:41:10         | 00:02:03             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| кто-то                       | adgiklprst | 19:41:14       | 19:42:17         | 00:01:05             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| кто-то                       | adgiklprst | 19:44:26       | 19:45:31         | 00:01:07             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| Frenk                       | adgijklpqrst | 19:51:50       | 19:51:50         | 00:00:07             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| Frenk                       | adgijklpqrst | 19:51:50       | 19:53:20         | 00:01:14             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
|                        |  |        | 19:56:07         | 00:04:02             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| Frenk                       | adgijklpqrst | 19:56:10       | 20:01:17         | 00:05:08             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| МиХаЛыЧ4658                       | abdfghiklpqrst | 19:53:23       | 20:02:14         | 00:08:53             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| Frenk                       | adgijklpqrst | 20:01:21       | 20:04:18         | 00:02:59             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| МиХаЛыЧ4658                       | abdfghiklpqrst | 20:10:17       | 20:11:15         | 00:01:05             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| МиХаЛыЧ4658                       | abdfghiklpqrst | 20:15:09       | 20:19:11         | 00:04:16             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| Frenk                       | adgijklpqrst | 20:04:24       | 20:19:11         | 00:14:48             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| кто-то                       | adgiklprst | 19:53:35       | 20:19:11         | 00:25:38             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| Frenk                       | adgijklpqrst | 20:23:24       | 20:28:26         | 00:05:04             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| МиХаЛыЧ4658                       | abdfghiklpqrst | 20:23:25       | 20:30:17         | 00:06:56             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| Nesquik                       | adfghilpqrst | 20:23:27       | 20:33:35         | 00:10:12             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| Frenk                       | adgijklpqrst | 20:28:30       | 20:38:54         | 00:10:25             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| кто-то                       | adgiklprst | 20:23:33       | 20:43:20         | 00:19:50             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| Nesquik                       | adfghilpqrst | 20:33:40       | 20:44:29         | 00:10:51             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| МиХаЛыЧ4658                       | abdfghiklpqrst | 20:35:43       | 20:46:44         | 00:11:02             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| Frenk                       | adgijklpqrst | 20:38:58       | 20:46:50         | 00:07:53             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| Frenk                       | adgijklpqrst | 21:31:13       | 21:31:27         | 00:00:19             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| кто-то                       | adgiklprst | 22:19:20       | 22:19:20         | 00:00:06             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| кто-то                       | adgiklprst | 22:19:25       | 22:26:15         | 00:06:51             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| кто-то                       | adgiklprst | 22:26:26       | 22:36:50         | 00:10:26             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| кто-то                       | adgiklprst | 22:37:40       | 22:41:13         | 00:03:35             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
|                        |  |        | 22:43:35         | 00:11:16             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| minibam                       | abcdefghjklopqrstu | 22:43:41       | 22:55:12         | 00:11:33             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
|                        |  |        | 23:29:40         | 00:02:55             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
|                        |  |        | 23:29:40         | 00:06:12             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| Frenk                       | adgijklpqrst | 23:29:46       | 23:35:34         | 00:05:48             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| gorillass                       | adgiklprst | 23:29:47       | 23:35:34         | 00:05:48             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| gorillass                       | adgiklprst | 23:35:41       | 23:52:00         | 00:16:22             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| Frenk                       | adgijklpqrst | 23:35:39       | 23:53:09         | 00:17:31             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| кто-то                       | adgiklprst | 23:37:15       | 23:58:23         | 00:21:21             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
==================================================================================================================
                                                 [ 20.12.2020 ]
==================================================================================================================

|             Ник             |          флаги        |  Время захода  |   Время выхода   |   Общее время игры   |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
==================================================================================================================
                                                 [ 20.12.2020 ]
==================================================================================================================

|             Ник             |          флаги        |  Время захода  |   Время выхода   |   Общее время игры   |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
==================================================================================================================
                                                 [ 20.12.2020 ]
==================================================================================================================

|             Ник             |          флаги        |  Время захода  |   Время выхода   |   Общее время игры   |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
==================================================================================================================
                                                 [ 20.12.2020 ]
==================================================================================================================

|             Ник             |          флаги        |  Время захода  |   Время выхода   |   Общее время игры   |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
==================================================================================================================
                                                 [ 20.12.2020 ]
==================================================================================================================

|             Ник             |          флаги        |  Время захода  |   Время выхода   |   Общее время игры   |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
==================================================================================================================
                                                 [ 20.12.2020 ]
==================================================================================================================

|             Ник             |          флаги        |  Время захода  |   Время выхода   |   Общее время игры   |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
==================================================================================================================
                                                 [ 20.12.2020 ]
==================================================================================================================

|             Ник             |          флаги        |  Время захода  |   Время выхода   |   Общее время игры   |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
==================================================================================================================
                                                 [ 20.12.2020 ]
==================================================================================================================

|             Ник             |          флаги        |  Время захода  |   Время выхода   |   Общее время игры   |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
==================================================================================================================
                                                 [ 20.12.2020 ]
==================================================================================================================

|             Ник             |          флаги        |  Время захода  |   Время выхода   |   Общее время игры   |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
==================================================================================================================
                                                 [ 20.12.2020 ]
==================================================================================================================

|             Ник             |          флаги        |  Время захода  |   Время выхода   |   Общее время игры   |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
==================================================================================================================
                                                 [ 20.12.2020 ]
==================================================================================================================

|             Ник             |          флаги        |  Время захода  |   Время выхода   |   Общее время игры   |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
==================================================================================================================
                                                 [ 20.12.2020 ]
==================================================================================================================

|             Ник             |          флаги        |  Время захода  |   Время выхода   |   Общее время игры   |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
==================================================================================================================
                                                 [ 20.12.2020 ]
==================================================================================================================

|             Ник             |          флаги        |  Время захода  |   Время выхода   |   Общее время игры   |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
==================================================================================================================
                                                 [ 20.12.2020 ]
==================================================================================================================

|             Ник             |          флаги        |  Время захода  |   Время выхода   |   Общее время игры   |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
==================================================================================================================
                                                 [ 20.12.2020 ]
==================================================================================================================

|             Ник             |          флаги        |  Время захода  |   Время выхода   |   Общее время игры   |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
==================================================================================================================
                                                 [ 20.12.2020 ]
==================================================================================================================

|             Ник             |          флаги        |  Время захода  |   Время выхода   |   Общее время игры   |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
==================================================================================================================
                                                 [ 20.12.2020 ]
==================================================================================================================

|             Ник             |          флаги        |  Время захода  |   Время выхода   |   Общее время игры   |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
==================================================================================================================
                                                 [ 20.12.2020 ]
==================================================================================================================

|             Ник             |          флаги        |  Время захода  |   Время выхода   |   Общее время игры   |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
==================================================================================================================
                                                 [ 20.12.2020 ]
==================================================================================================================

|             Ник             |          флаги        |  Время захода  |   Время выхода   |   Общее время игры   |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
==================================================================================================================
                                                 [ 20.12.2020 ]
==================================================================================================================

|             Ник             |          флаги        |  Время захода  |   Время выхода   |   Общее время игры   |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
==================================================================================================================
                                                 [ 20.12.2020 ]
==================================================================================================================

|             Ник             |          флаги        |  Время захода  |   Время выхода   |   Общее время игры   |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
==================================================================================================================
                                                 [ 20.12.2020 ]
==================================================================================================================

|             Ник             |          флаги        |  Время захода  |   Время выхода   |   Общее время игры   |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
==================================================================================================================
                                                 [ 20.12.2020 ]
==================================================================================================================

|             Ник             |          флаги        |  Время захода  |   Время выхода   |   Общее время игры   |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
==================================================================================================================
                                                 [ 20.12.2020 ]
==================================================================================================================

|             Ник             |          флаги        |  Время захода  |   Время выхода   |   Общее время игры   |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
==================================================================================================================
                                                 [ 20.12.2020 ]
==================================================================================================================

|             Ник             |          флаги        |  Время захода  |   Время выхода   |   Общее время игры   |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
==================================================================================================================
                                                 [ 20.12.2020 ]
==================================================================================================================

|             Ник             |          флаги        |  Время захода  |   Время выхода   |   Общее время игры   |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
==================================================================================================================
                                                 [ 20.12.2020 ]
==================================================================================================================

|             Ник             |          флаги        |  Время захода  |   Время выхода   |   Общее время игры   |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
==================================================================================================================
                                                 [ 20.12.2020 ]
==================================================================================================================

|             Ник             |          флаги        |  Время захода  |   Время выхода   |   Общее время игры   |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
==================================================================================================================
                                                 [ 20.12.2020 ]
==================================================================================================================

|             Ник             |          флаги        |  Время захода  |   Время выхода   |   Общее время игры   |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
==================================================================================================================
                                                 [ 20.12.2020 ]
==================================================================================================================

|             Ник             |          флаги        |  Время захода  |   Время выхода   |   Общее время игры   |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
==================================================================================================================
                                                 [ 20.12.2020 ]
==================================================================================================================

|             Ник             |          флаги        |  Время захода  |   Время выхода   |   Общее время игры   |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
==================================================================================================================
                                                 [ 20.12.2020 ]
==================================================================================================================

|             Ник             |          флаги        |  Время захода  |   Время выхода   |   Общее время игры   |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
==================================================================================================================
                                                 [ 20.12.2020 ]
==================================================================================================================

|             Ник             |          флаги        |  Время захода  |   Время выхода   |   Общее время игры   |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
==================================================================================================================
                                                 [ 20.12.2020 ]
==================================================================================================================

|             Ник             |          флаги        |  Время захода  |   Время выхода   |   Общее время игры   |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
==================================================================================================================
                                                 [ 20.12.2020 ]
==================================================================================================================

|             Ник             |          флаги        |  Время захода  |   Время выхода   |   Общее время игры   |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
==================================================================================================================
                                                 [ 20.12.2020 ]
==================================================================================================================

|             Ник             |          флаги        |  Время захода  |   Время выхода   |   Общее время игры   |
